example_id                                                 | status | run_time        |
./spec/devlish/compiler/emitter_spec.rb[1:52]              | passed | 0.05249 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:53]              | passed | 0.12948 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:54]              | passed | 0.05289 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:55]              | passed | 0.1292 seconds  |
./spec/devlish/compiler/emitter_spec.rb[1:56]              | passed | 0.05334 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:57]              | passed | 0.14559 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:58]              | passed | 0.0543 seconds  |
./spec/devlish/compiler/emitter_spec.rb[1:59]              | passed | 0.1301 seconds  |
./spec/devlish/compiler/emitter_spec.rb[1:60]              | passed | 0.0534 seconds  |
./spec/devlish/compiler/emitter_spec.rb[1:61]              | passed | 0.12939 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:62]              | passed | 0.05671 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:63]              | passed | 0.21535 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:64]              | passed | 0.0585 seconds  |
./spec/devlish/compiler/emitter_spec.rb[1:65]              | passed | 0.13943 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:66]              | passed | 0.05499 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:67]              | passed | 0.12977 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:68]              | passed | 0.05341 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:69]              | passed | 0.13659 seconds |
./spec/devlish/compiler/emitter_spec.rb[1:70]              | passed | 0.05593 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:1:1]             | passed | 0.00119 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:1]             | passed | 0.0003 seconds  |
./spec/devlish/compiler/lowerer_spec.rb[1:2:2]             | passed | 0.00029 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:3]             | passed | 0.00032 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:4]             | passed | 0.00017 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:5]             | passed | 0.00018 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:6]             | passed | 0.00034 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:7]             | passed | 0.00016 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:8]             | passed | 0.00018 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:9]             | passed | 0.00013 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:10]            | passed | 0.00068 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:11]            | passed | 0.00059 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:12]            | passed | 0.00036 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:13]            | passed | 0.00022 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:14]            | passed | 0.00046 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:15]            | passed | 0.00062 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:16]            | passed | 0.00013 seconds |
./spec/devlish/compiler/lowerer_spec.rb[1:2:17]            | passed | 0.00017 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:1]     | passed | 0.00017 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:2]     | passed | 0.00019 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:3]     | passed | 0.00018 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:4]     | passed | 0.00019 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:5]     | passed | 0.00031 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:6]     | passed | 0.00018 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:7]     | passed | 0.0003 seconds  |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:8]     | passed | 0.00069 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:9]     | passed | 0.00413 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:10]    | passed | 0.00036 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:11]    | passed | 0.00038 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:12]    | passed | 0.00101 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:13]    | passed | 0.00019 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:14]    | passed | 0.00028 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:15]    | passed | 0.00011 seconds |
./spec/devlish/compiler/semantic_analyzer_spec.rb[1:16]    | passed | 0.00129 seconds |
./spec/devlish/converter/markdown_converter_spec.rb[1:1]   | passed | 0.00014 seconds |
./spec/devlish/converter/markdown_converter_spec.rb[1:2]   | passed | 0.00008 seconds |
./spec/devlish/course_checks_spec.rb[1:1]                  | passed | 0.00622 seconds |
./spec/devlish/devlish_spec.rb[1:1:1]                      | passed | 0.00101 seconds |
./spec/devlish/devlish_spec.rb[1:1:2]                      | passed | 0.00061 seconds |
./spec/devlish/examples_catalog_spec.rb[1:1]               | passed | 0.04201 seconds |
./spec/devlish/examples_catalog_spec.rb[1:2]               | passed | 0.00331 seconds |
./spec/devlish/executor/class_ir_interpreter_spec.rb[1:1]  | passed | 0.00048 seconds |
./spec/devlish/executor/class_ir_interpreter_spec.rb[1:2]  | passed | 0.00107 seconds |
